customerID;gender;Partner;PhoneService;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;PaperlessBilling;Churn
4183-MYFRB;Female;No;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Yes;No
8779-QRDMV;Male;No;No;DSL;No;No;Yes;No;No;Yes;Yes;Yes
1680-VDCWW;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
1066-JKSGK;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;Yes
3638-WEABW;Female;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Yes;No
6322-HRPFA;Male;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;No;No
6865-JZNKO;Female;No;Yes;DSL;Yes;Yes;No;No;No;No;Yes;No
6467-CHFZW;Male;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Yes;Yes
8665-UTDHZ;Male;Yes;No;DSL;No;Yes;No;No;No;No;No;Yes
5248-YGIJN;Male;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
8773-HHUOZ;Female;No;Yes;DSL;No;No;No;No;Yes;Yes;Yes;Yes
3841-NFECX;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Yes;No
4929-XIHVW;Male;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes;No
6827-IEAUQ;Female;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;No;No
7310-EGVHZ;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
3413-BMNZE;Male;No;Yes;DSL;No;No;No;No;No;No;No;No
6234-RAAPL;Female;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;No;No
6047-YHPVI;Male;No;Yes;Fiber optic;No;No;No;No;No;No;Yes;Yes
6572-ADKRS;Female;No;Yes;Fiber optic;No;No;Yes;No;No;No;Yes;No
5380-WJKOV;Male;No;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes;Yes
8168-UQWWF;Female;No;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes;Yes
8865-TNMNX;Male;Yes;Yes;DSL;No;Yes;No;No;No;No;No;No
9489-DEDVP;Female;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Yes;No
9867-JCZSP;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
4671-VJLCL;Female;No;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Yes;No
4080-IIARD;Female;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Yes;No
3714-NTNFO;Female;No;Yes;Fiber optic;No;No;No;No;No;Yes;Yes;No
5948-UJZLF;Male;No;Yes;DSL;No;Yes;No;No;No;No;No;No
7760-OYPDY;Female;No;Yes;Fiber optic;No;No;No;No;Yes;No;Yes;Yes
7639-LIAYI;Male;No;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Yes;No
2954-PIBKO;Female;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Yes;No
8012-SOUDQ;Female;No;Yes;Fiber optic;No;Yes;No;No;Yes;No;Yes;No
9420-LOJKX;Female;No;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;Yes;Yes
6575-SUVOI;Female;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Yes;No
7495-OOKFY;Female;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Yes;Yes
4667-QONEA;Female;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Yes;No
1658-BYGOY;Male;No;Yes;Fiber optic;No;No;No;No;Yes;Yes;Yes;Yes
8769-KKTPH;Female;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Yes;No
5067-XJQFU;Male;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;No
3957-SQXML;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
5954-BDFSG;Female;No;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Yes;No
0434-CSFON;Female;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes;No
1215-FIGMP;Male;No;Yes;Fiber optic;No;Yes;No;No;Yes;No;Yes;No
0526-SXDJP;Male;Yes;No;DSL;Yes;Yes;Yes;No;No;No;No;No
0557-ASKVU;Female;Yes;Yes;DSL;No;No;Yes;Yes;No;No;Yes;No
5698-BQJOH;Female;No;Yes;Fiber optic;No;No;No;No;Yes;Yes;No;Yes
5122-CYFXA;Female;No;Yes;DSL;No;Yes;No;Yes;Yes;Yes;Yes;No
8627-ZYGSZ;Male;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Yes;No
3410-YOQBQ;Female;No;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;No;No
3170-NMYVV;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
7410-OIEDU;Male;No;Yes;Fiber optic;Yes;No;Yes;No;No;No;Yes;No
2273-QCKXA;Male;No;Yes;DSL;No;No;No;Yes;No;No;No;No
0731-EBJQB;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
1891-QRQSA;Male;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Yes;No
8028-PNXHQ;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
5630-AHZIL;Female;No;Yes;DSL;Yes;No;No;Yes;No;Yes;Yes;No
2673-CXQEU;Female;No;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;No;No
6416-JNVRK;Female;No;Yes;DSL;No;No;No;No;No;Yes;No;No
5590-ZSKRV;Female;Yes;Yes;DSL;Yes;Yes;No;No;No;No;No;No
0191-ZHSKZ;Male;No;Yes;DSL;Yes;Yes;No;No;Yes;Yes;Yes;No
3887-PBQAO;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
5919-TMRGD;Female;No;Yes;Fiber optic;No;No;No;No;Yes;No;Yes;Yes
8108-UXRQN;Female;Yes;No;DSL;Yes;No;No;No;Yes;Yes;No;No
9191-MYQKX;Female;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Yes;Yes
9919-YLNNG;Female;No;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;No
0318-ZOPWS;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
4445-ZJNMU;Male;No;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Yes;No
4808-YNLEU;Female;Yes;Yes;DSL;Yes;No;No;No;Yes;No;Yes;No
1862-QRWPE;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
2796-NNUFI;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
3016-KSVCP;Male;Yes;No;DSL;No;No;No;No;Yes;No;No;No
4767-HZZHQ;Male;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;No;No
2424-WVHPL;Male;No;Yes;Fiber optic;No;No;No;Yes;No;No;No;No
7233-PAHHL;Male;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Yes;No
6067-NGCEU;Female;No;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Yes;No
9848-JQJTX;Male;No;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes;No
8637-XJIVR;Female;No;Yes;Fiber optic;Yes;No;No;No;No;No;Yes;Yes
9803-FTJCG;Male;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;Yes;No
0278-YXOOG;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;Yes
3212-KXOCR;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
4598-XLKNJ;Female;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes;Yes
6380-ARCEH;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
3679-XASPY;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
7123-WQUHX;Male;No;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;No;No
5386-THSLQ;Female;Yes;No;DSL;No;Yes;Yes;No;Yes;No;No;No
3192-NQECA;Male;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes
6180-YBIQI;Male;No;No;DSL;No;No;No;No;No;No;No;No
6728-DKUCO;Female;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;Yes;No
9750-BOOHV;Female;No;No;DSL;Yes;No;No;No;No;No;No;No
8597-CWYHH;Male;No;Yes;Fiber optic;No;No;No;No;Yes;Yes;No;No
2848-YXSMW;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
0486-HECZI;Male;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Yes;Yes
4549-ZDQYY;Female;No;Yes;DSL;Yes;No;Yes;Yes;No;No;No;No
5712-AHQNN;Female;No;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Yes;No
4846-WHAFZ;Female;Yes;Yes;Fiber optic;No;No;No;No;No;No;Yes;Yes
5256-SKJGO;Female;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Yes;No
3071-VBYPO;Male;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;No;No
9560-BBZXK;Female;No;No;DSL;Yes;No;No;No;No;No;No;No
5299-RULOA;Female;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Yes;Yes
8402-OOOHJ;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
9445-ZUEQE;Male;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Yes;No
1091-SOZGA;Female;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes;No
2928-HLDBA;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
0404-SWRVG;Male;No;Yes;Fiber optic;No;No;No;No;No;No;Yes;Yes
6497-TILVL;Female;Yes;Yes;DSL;Yes;No;No;No;No;No;No;No
7219-TLZHO;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
4622-YNKIJ;Male;No;Yes;Fiber optic;Yes;No;No;Yes;Yes;No;Yes;No
4412-YLTKF;Female;No;Yes;Fiber optic;No;No;Yes;No;No;No;Yes;Yes
6734-PSBAW;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
3930-ZGWVE;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
2639-UGMAZ;Male;No;No;DSL;Yes;Yes;No;No;Yes;Yes;Yes;No
2876-GZYZC;Female;No;Yes;Fiber optic;No;No;No;No;No;Yes;Yes;No
6207-WIOLX;Female;Yes;No;DSL;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
8587-XYZSF;Male;No;Yes;DSL;No;No;No;Yes;No;No;No;No
3091-FYHKI;Male;No;No;DSL;No;No;No;No;No;Yes;Yes;Yes
2372-HWUHI;Male;No;Yes;DSL;No;No;No;No;No;No;No;Yes
7799-LGRDP;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
7850-VWJUU;Female;No;Yes;Fiber optic;Yes;No;No;No;No;No;Yes;No
3774-VBNXY;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
6217-KDYWC;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
0390-DCFDQ;Female;Yes;Yes;Fiber optic;No;No;No;No;No;No;Yes;Yes
3146-MSEGF;Female;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
4080-OGPJL;Female;No;Yes;DSL;Yes;No;No;Yes;No;Yes;No;Yes
1095-WGNGG;Female;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Yes;No
2636-SJDOU;Male;No;Yes;Fiber optic;Yes;Yes;No;No;No;No;Yes;No
1131-QQZEB;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
5716-EZXZN;Female;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Yes;No
6837-BJYDQ;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
2135-RXIHG;Male;No;Yes;DSL;No;No;No;No;No;No;Yes;Yes
6440-DKQGE;Male;No;Yes;DSL;No;Yes;Yes;No;Yes;No;No;No
3466-BYAVD;Male;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;Yes;No
3780-YVMFA;Female;Yes;Yes;DSL;No;No;No;Yes;Yes;Yes;Yes;No
3874-EQOEP;Male;No;Yes;Fiber optic;No;No;No;No;Yes;Yes;No;Yes
1679-JRFBR;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Yes;No
9073-ZZIAY;Male;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;No;No
3077-RSNTJ;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
6551-GNYDG;Female;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Yes;No
9167-APMXZ;Female;No;Yes;Fiber optic;No;No;No;No;Yes;No;Yes;No
2749-CTKAJ;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
6371-NZYEG;Male;Yes;Yes;DSL;Yes;No;Yes;No;Yes;No;No;No
7554-NEWDD;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
8992-VONJD;Female;No;Yes;DSL;Yes;Yes;No;No;No;No;Yes;No
0867-MKZVY;Female;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;No;Yes
4482-EWFMI;Female;No;Yes;Fiber optic;No;No;No;No;No;No;Yes;No
4648-YPBTM;Male;No;Yes;DSL;No;Yes;Yes;Yes;No;Yes;Yes;No
2907-ILJBN;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
6345-FZOQH;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
3376-BMGFE;Female;No;Yes;Fiber optic;No;No;No;No;No;No;Yes;Yes
5997-OPVFA;Male;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
3445-HXXGF;Male;Yes;No;DSL;No;Yes;Yes;No;No;Yes;Yes;Yes
1159-WFSGR;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
7654-YWJUF;Male;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;No;No;Yes;No
1875-QIVME;Female;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Yes;Yes
6727-IOTLZ;Male;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;No;No
0691-JVSYA;Female;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Yes;Yes
5918-VUKWP;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
1744-JHKYS;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
2656-FMOKZ;Female;No;Yes;Fiber optic;No;No;No;No;No;No;Yes;Yes
2070-FNEXE;Female;No;Yes;Fiber optic;Yes;No;No;No;No;No;No;Yes
5947-SGKCL;Female;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes;No
3712-PKXZA;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
6317-YPKDH;Female;No;No;DSL;No;Yes;No;No;No;No;No;Yes
6582-OIVSP;Female;No;Yes;DSL;No;No;No;No;No;No;No;No
9367-WXLCH;Male;No;Yes;Fiber optic;No;No;No;No;No;Yes;No;Yes
5524-KHNJP;Male;Yes;Yes;DSL;Yes;No;Yes;No;Yes;Yes;No;No
1918-ZBFQJ;Female;No;Yes;Fiber optic;No;Yes;Yes;No;No;No;Yes;Yes
1024-GUALD;Female;Yes;No;DSL;No;No;No;No;No;No;Yes;Yes
4827-USJHP;Male;No;Yes;DSL;No;Yes;No;No;No;No;Yes;No
8167-GJLRN;Male;No;No;DSL;No;No;No;Yes;No;No;No;No
0956-SYCWG;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
8017-UVSZU;Female;Yes;Yes;DSL;No;Yes;No;No;No;No;No;No
7100-FQPRV;Male;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Yes;No
2472-OVKUP;Male;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Yes;Yes
2984-RGEYA;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
9680-NIAUV;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;No;No
2146-EGVDT;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
2604-IJPDU;Female;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Yes;No
9178-JHUVJ;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
6168-YBYNP;Male;No;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;No
7255-SSFBC;Male;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;No
3645-DEYGF;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
9323-HGFWY;Female;Yes;Yes;Fiber optic;Yes;No;No;Yes;Yes;Yes;Yes;No
8544-GOQSH;Female;No;Yes;Fiber optic;No;Yes;No;Yes;No;No;Yes;No
3363-DTIVD;Male;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;No;No
7018-WBJNK;Male;No;Yes;Fiber optic;No;No;No;No;Yes;No;Yes;No
9142-KZXOP;Male;No;Yes;Fiber optic;No;No;No;No;No;No;No;No
7674-YTAFD;Female;No;Yes;Fiber optic;No;Yes;No;Yes;No;No;Yes;No
6348-SNFUS;Male;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;Yes;No
1285-OKIPP;Male;No;Yes;Fiber optic;No;No;No;No;No;Yes;No;Yes
7825-ECJRF;Female;No;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes
1347-KTTTA;Male;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;No
7841-TZDMQ;Male;No;Yes;DSL;No;No;No;No;No;No;Yes;Yes
4195-NZGTA;Female;No;No;DSL;No;No;No;No;No;No;No;No
7157-SMCFK;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
4709-LKHYG;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
2504-DSHIH;Male;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;No;No
0699-NDKJM;Female;Yes;No;DSL;Yes;Yes;Yes;No;Yes;Yes;Yes;No
9286-BHDQG;Male;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;No;No
0230-WEQUW;Male;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;No;Yes;No
2040-LDIWQ;Male;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Yes;No
6496-JDSSB;Female;No;Yes;Fiber optic;No;No;No;No;Yes;No;Yes;No
9408-SSNVZ;Female;No;Yes;Fiber optic;No;No;No;No;No;No;Yes;Yes
4443-EMBNA;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
6469-MRVET;Male;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
0742-MOABM;Male;Yes;Yes;DSL;No;No;No;Yes;No;No;No;Yes
5961-VUSRV;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
6778-JFCMK;Male;No;No;DSL;Yes;No;No;No;Yes;Yes;Yes;No
6341-JVQGF;Female;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Yes;No
2232-DMLXU;Female;Yes;Yes;DSL;No;No;No;No;Yes;No;No;Yes
4811-JBUVU;Male;No;Yes;Fiber optic;No;No;No;Yes;No;Yes;Yes;No
0945-TSONX;Female;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;Yes;No
2651-ZCBXV;Male;No;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Yes;No
3316-UWXUY;Male;No;Yes;Fiber optic;Yes;Yes;No;Yes;No;Yes;Yes;No
8937-RDTHP;Male;No;Yes;Fiber optic;Yes;No;No;No;No;Yes;Yes;Yes
7083-MIOPC;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
1984-GPTEH;Female;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
1251-KRREG;Male;No;Yes;DSL;No;Yes;No;No;No;No;Yes;Yes
0621-JFHOL;Female;No;No;DSL;No;No;No;Yes;No;No;Yes;No
9903-LYSAB;Male;Yes;Yes;Fiber optic;No;No;No;No;No;No;Yes;No
0094-OIFMO;Female;No;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Yes;Yes
9227-UAQFT;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
7301-ABVAD;Female;No;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;No;No
6614-FHDBO;Male;No;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;No;No
7576-ASEJU;Female;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Yes;No
9058-HRZSV;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;Yes;No;No
4522-AKYLR;Female;No;Yes;DSL;No;Yes;Yes;No;No;No;Yes;No
0221-WMXNQ;Male;No;Yes;Fiber optic;Yes;No;No;No;No;No;No;No
0303-UNCIP;Male;No;Yes;DSL;No;No;Yes;No;No;Yes;No;No
9947-OTFQU;Male;No;Yes;Fiber optic;No;Yes;No;No;No;No;Yes;Yes
0322-YINQP;Male;No;Yes;DSL;Yes;No;No;No;No;No;Yes;Yes
0959-WHOKV;Male;No;Yes;Fiber optic;Yes;Yes;Yes;No;No;Yes;Yes;No
4075-JFPGR;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Yes;No
4629-NRXKX;Female;Yes;Yes;Fiber optic;No;No;No;No;No;No;No;Yes
9514-JDSKI;Male;Yes;No;DSL;No;Yes;No;No;Yes;No;No;Yes
3282-ZISZV;Male;No;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;No;No
3675-YDUPJ;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
4111-BNXIF;Female;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Yes;No
7017-VFHAY;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;No;No
6655-LHBYW;Male;No;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;No;No
4959-JOSRX;Female;Yes;Yes;DSL;No;No;No;No;No;No;Yes;Yes
5046-NUHWD;Female;Yes;No;DSL;Yes;No;Yes;No;No;Yes;Yes;No
7273-TEFQD;Male;No;No;DSL;No;No;Yes;No;No;Yes;Yes;Yes
3606-TWKGI;Male;No;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes;Yes
7529-ZDFXI;Male;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Yes;No
7605-BDWDC;Female;No;No;DSL;Yes;Yes;No;Yes;No;Yes;Yes;No
1950-KSVVJ;Female;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;No;No
0123-CRBRT;Female;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;No;No
6292-TOSSS;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;No
3197-ARFOY;Female;No;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Yes;No
6323-AYBRX;Male;No;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;No;Yes
7014-ZZXAW;Female;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Yes;No
4385-GZQXV;Female;No;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Yes;Yes
7633-MVPUY;Male;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;Yes;No
6366-ZGQGL;Male;No;No;DSL;No;No;No;No;No;No;No;Yes
4716-HHKQH;Male;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;No;No
5940-AHUHD;Male;No;Yes;Fiber optic;No;No;No;No;No;No;No;Yes
6432-TWQLB;Male;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Yes;Yes
4484-GLZOU;Female;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Yes;Yes
3179-GBRWV;Male;Yes;Yes;DSL;Yes;Yes;No;No;No;Yes;Yes;No
8645-KWHJO;Male;No;No;DSL;No;No;Yes;Yes;Yes;Yes;Yes;No
4130-MZLCC;Female;No;Yes;DSL;No;Yes;No;No;No;No;No;No
0314-TKOSI;Female;No;Yes;DSL;Yes;Yes;No;No;No;No;No;No
